Code,Country,Discipline,Event,Gender,Medal,Name,NOC,Rank,Sport,Age,F1
1482869,Australia,SWM,Mixed 4 x 100m Medley Relay Team,Female,Bronze,McKEON Emma,AUS,3,Swimming,27,8488
1482870,Australia,SWM,Women's 100m Backstroke,Female,Gold,McKEOWN Kaylee,AUS,1,Swimming,20,8489
1482870,Australia,SWM,Women's 200m Backstroke,Female,Gold,McKEOWN Kaylee,AUS,1,Swimming,20,8490
1482870,Australia,SWM,Women's 4 x 100m Medley Relay Team,Female,Gold,McKEOWN Kaylee,AUS,1,Swimming,20,8491
1482870,Australia,SWM,Mixed 4 x 100m Medley Relay Team,Female,Bronze,McKEOWN Kaylee,AUS,3,Swimming,20,8492
1458998,United States,ATH,Women's 400m Hurdles,Female,Gold,McLAUGHLIN Sydney,USA,1,Athletics,22,8497
1458998,United States,ATH,Women's 4 x 400m Relay Team,Female,Gold,McLAUGHLIN Sydney,USA,1,Athletics,22,8498
1412279,Jamaica,ATH,Women's 4 x 400m Relay Team,Female,Bronze,McLEOD Candice,JAM,3,Athletics,24,8500
1469423,Canada,FBL,Women Team,Female,Gold,McLEOD Erin,CAN,1,Football,38,8503
1482871,Australia,SWM,Men's 400m Freestyle,Male,Silver,McLOUGHLIN Jack,AUS,2,Swimming,26,8505
1482503,Australia,EQU,Eventing Team,Male,Silver,McNAB Kevin,AUS,2,Equestrian,43,8511
1437763,Jamaica,ATH,Women's 4 x 400m Relay Team,Female,Bronze,McPHERSON Stephenie Ann,JAM,3,Athletics,32,8520
1388967,Dominican Republic,ATH,4 x 400m Relay Mixed Team,Female,Silver,MEDINA VENTURA Anabel,DOM,2,Athletics,24,8541
1476566,Netherlands,ROW,Women's Four Team,Female,Silver,MEESTER Veronique,NED,2,Rowing,26,8553
1310041,United States,FEN,Men's Foil Team,Male,Bronze,MEINHARDT Gerek,USA,3,Fencing,31,8571
1444228,Dominican Republic,BSB,Baseball Team,Male,Bronze,MEJIA Erick,DOM,3,Baseball/Softball,26,8572
1383850,Croatia,TEN,Men's Doubles Team,Male,Gold,MEKTIC Nikola,CRO,1,Tennis,32,8574
1406270,Russia,GAR,Women's All-Around,Female,Bronze,MELNIKOVA Angelina,ROC,3,Artistic Gymnastics,21,8590
1406270,Russia,GAR,Women's Floor Exercise,Female,Bronze,MELNIKOVA Angelina,ROC,3,Artistic Gymnastics,21,8594
1406270,Russia,GAR,Women's Team,Female,Gold,MELNIKOVA Angelina,ROC,1,Artistic Gymnastics,21,8595
1350431,France,HBL,Men Team,Male,Gold,MEM Dika,FRA,1,Handball,23,8607
